portname,communityId
"""bbra_rtr,te6/3""",1
"""bbra_rtr,te7/3""",20
"""bbra_rtr,te1/3""",20
"""roza_rtr,te2/3""",31
"""boza_rtr,te2/3""",84
"""soza_rtr,te2/3""",100
"""coza_rtr,te2/3""",141
"""goza_rtr,te2/3""",158
"""poza_rtr,te2/3""",208
"""bbra_rtr,te6/1""",266
"""bbra_rtr,te7/1""",266
"""bbrb_rtr,te6/1""",266
"""bbrb_rtr,te7/2""",266
"""bbra_rtr,te1/4""",267
"""bbra_rtr,te7/2""",267
"""bbrb_rtr,te7/4""",267
"""bbrb_rtr,te1/3""",267
"""bbrb_rtr,te1/1""",267
"""bbrb_rtr,te6/3""",267
"""yoza_rtr,te1/2""",267
"""yoza_rtr,te1/1""",267
